# FORPRINT: Thu Feb 23 22:02:41 2017
#  lam[um]   F2/F1    F2/F1err-  F2/F1err+
   0.80200   0.06782  -0.00784   0.00902
   0.80300   0.06787  -0.00786   0.00906
   0.80400   0.06795  -0.00776   0.00897
   0.80500   0.06803  -0.00766   0.00889
   0.80600   0.06800  -0.00767   0.00894
   0.80700   0.06797  -0.00768   0.00899
   0.80800   0.06808  -0.00752   0.00884
   0.80900   0.06819  -0.00736   0.00868
   0.81000   0.06831  -0.00736   0.00869
   0.81100   0.06844  -0.00737   0.00870
   0.81200   0.06875  -0.00736   0.00871
   0.81300   0.06907  -0.00735   0.00871
   0.81400   0.06920  -0.00731   0.00868
   0.81500   0.06934  -0.00726   0.00865
   0.81600   0.06941  -0.00726   0.00867
   0.81700   0.06947  -0.00727   0.00870
   0.81800   0.06822  -0.00739   0.00889
   0.81900   0.06694  -0.00752   0.00910
   0.82000   0.06814  -0.00727   0.00882
   0.82100   0.06934  -0.00702   0.00855
   0.82200   0.06974  -0.00697   0.00849
   0.82300   0.07013  -0.00693   0.00844
   0.82400   0.07020  -0.00705   0.00857
   0.82500   0.07027  -0.00717   0.00870
   0.82600   0.07052  -0.00717   0.00868
   0.82700   0.07077  -0.00717   0.00865
   0.82800   0.07075  -0.00714   0.00863
   0.82900   0.07073  -0.00711   0.00860
   0.83000   0.07058  -0.00707   0.00856
   0.83100   0.07041  -0.00702   0.00851
   0.83200   0.06992  -0.00704   0.00858
   0.83300   0.06943  -0.00705   0.00865
   0.83400   0.06998  -0.00707   0.00861
   0.83500   0.07053  -0.00708   0.00858
   0.83600   0.07059  -0.00715   0.00864
   0.83700   0.07065  -0.00722   0.00870
   0.83800   0.06908  -0.00715   0.00873
   0.83900   0.06750  -0.00707   0.00876
   0.84000   0.06934  -0.00723   0.00878
   0.84100   0.07116  -0.00738   0.00881
   0.84200   0.07029  -0.00756   0.00895
   0.84300   0.06940  -0.00775   0.00908
   0.84400   0.07045  -0.00806   0.00916
   0.84500   0.07149  -0.00838   0.00923
   0.84600   0.07139  -0.00823   0.00913
   0.84700   0.07128  -0.00808   0.00904
   0.84800   0.07160  -0.00811   0.00907
   0.84900   0.07193  -0.00814   0.00911
   0.85000   0.07175  -0.00806   0.00907
   0.85100   0.07157  -0.00797   0.00903
   0.85200   0.07188  -0.00798   0.00902
   0.85300   0.07219  -0.00799   0.00901
   0.85400   0.07212  -0.00769   0.00898
   0.85500   0.07204  -0.00735   0.00894
   0.85600   0.07246  -0.00764   0.00893
   0.85700   0.07283  -0.00789   0.00893
   0.85800   0.07320  -0.00779   0.00886
   0.85900   0.07359  -0.00768   0.00879
   0.86000   0.07365  -0.00764   0.00881
   0.86100   0.07371  -0.00760   0.00883
   0.86200   0.07343  -0.00753   0.00879
   0.86300   0.07316  -0.00747   0.00874
   0.86400   0.07366  -0.00743   0.00873
   0.86500   0.07417  -0.00739   0.00872
   0.86600   0.07352  -0.00716   0.00873
   0.86700   0.07278  -0.00690   0.00874
   0.86800   0.07178  -0.00699   0.00873
   0.86900   0.07090  -0.00706   0.00872
   0.87000   0.07250  -0.00704   0.00858
   0.87100   0.07408  -0.00701   0.00844
   0.87200   0.07436  -0.00705   0.00849
   0.87300   0.07463  -0.00709   0.00854
   0.87400   0.07585  -0.00715   0.00861
   0.87500   0.07710  -0.00722   0.00868
   0.87600   0.07590  -0.00717   0.00867
   0.87700   0.07473  -0.00713   0.00866
   0.87800   0.07489  -0.00699   0.00852
   0.87900   0.07505  -0.00686   0.00837
   0.88000   0.07422  -0.00667   0.00827
   0.88100   0.07339  -0.00648   0.00816
   0.88200   0.07358  -0.00665   0.00833
   0.88300   0.07377  -0.00681   0.00850
   0.88400   0.07502  -0.00689   0.00853
   0.88500   0.07629  -0.00697   0.00856
   0.88600   0.07745  -0.00695   0.00854
   0.88700   0.07865  -0.00693   0.00852
   0.88800   0.07756  -0.00690   0.00845
   0.88900   0.07653  -0.00686   0.00840
   0.89000   0.07661  -0.00690   0.00844
   0.89100   0.07669  -0.00694   0.00849
   0.89200   0.07660  -0.00684   0.00840
   0.89300   0.07650  -0.00673   0.00831
   0.89400   0.07616  -0.00669   0.00829
   0.89500   0.07582  -0.00665   0.00828
   0.89600   0.07609  -0.00669   0.00831
   0.89700   0.07635  -0.00672   0.00834
   0.89800   0.07663  -0.00673   0.00835
   0.89900   0.07691  -0.00674   0.00836
   0.90000   0.07762  -0.00672   0.00843
   0.90100   0.07837  -0.00670   0.00851
   0.90200   0.07813  -0.00675   0.00851
   0.90300   0.07789  -0.00680   0.00851
   0.90400   0.07786  -0.00680   0.00846
   0.90500   0.07782  -0.00680   0.00842
   0.90600   0.07842  -0.00676   0.00838
   0.90700   0.07903  -0.00673   0.00834
   0.90800   0.07861  -0.00667   0.00833
   0.90900   0.07817  -0.00661   0.00831
   0.91000   0.07798  -0.00659   0.00827
   0.91100   0.07778  -0.00657   0.00823
   0.91200   0.07787  -0.00660   0.00826
   0.91300   0.07796  -0.00662   0.00829
   0.91400   0.07805  -0.00659   0.00824
   0.91500   0.07813  -0.00656   0.00820
   0.91600   0.07826  -0.00655   0.00820
   0.91700   0.07840  -0.00655   0.00821
   0.91800   0.07872  -0.00660   0.00825
   0.91900   0.07904  -0.00665   0.00829
   0.92000   0.07933  -0.00666   0.00826
   0.92100   0.07962  -0.00666   0.00823
   0.92200   0.08227  -0.00697   0.00850
   0.92300   0.08506  -0.00728   0.00879
   0.92400   0.08262  -0.00702   0.00854
   0.92500   0.08028  -0.00678   0.00831
