alpha,Lambda,FpoFs
#alpha=-180
-100,12.7869, 0.004304240114
-100,11.9861, 0.004264987938
-100,11.2918, 0.004230173383
-100,10.6918, 0.004175202313
-100,10.0913, 0.004110840349
-100,9.6479, 0.004039110697
-100,9.3475, 0.003963072461
-100,8.9952, 0.003876097234
-100,8.6730, 0.003785407442
-100,8.3452, 0.003688532318
-100,8.0743, 0.003630509010
-100,7.9039, 0.003576903723
-100,7.7140, 0.003542250187
-100,7.4982, 0.003510092101
-100,7.2839, 0.003454308444
-100,7.0937, 0.003415561055
-100,6.8726, 0.003359070896
-100,6.6638, 0.003282959148
-100,6.5153, 0.003276693713
-100,6.2974, 0.003339363444
-100,6.0639, 0.003262215260
-100,5.8990, 0.003184457605
-100,5.7594, 0.003150826035
-100,5.5721, 0.003111373738
-100,5.3791, 0.003085445167
-100,5.2647, 0.003060438231
-100,5.1491, 0.003025936512
-100,4.9998, 0.002980560683
-100,4.8816, 0.002958515047
-100,4.8274, 0.002910831872
-100,4.7964, 0.002946110224
-100,4.7498, 0.002944090365
-100,4.6999, 0.002929814425
-100,4.6623, 0.002940114003
-100,4.6050, 0.002902796046
-100,4.5041, 0.002870375788
-100,4.3952, 0.002814668428
-100,4.3007, 0.002735771685
-100,4.2019, 0.002723610854
-100,4.0737, 0.002741318348
-100,3.9494, 0.002767501124
-100,3.8493, 0.002711764335
-100,3.7493, 0.002628510296
-100,3.6621, 0.002505645787
-100,3.5871, 0.002413283464
-100,3.5131, 0.002333526819
-100,3.4381, 0.002267467592
-100,3.3634, 0.002189977849
-100,3.3078, 0.002174020588
-100,3.2691, 0.002118096097
-100,3.2309, 0.002064342315
-100,3.1934, 0.002029676922
-100,3.1559, 0.001997941665
-100,3.1184, 0.001978377156
-100,3.0848, 0.001939693795
-100,3.0548, 0.001929115749
-100,3.0145, 0.001882612124
-100,2.9647, 0.001835468595
-100,2.9086, 0.001793365337
-100,2.8468, 0.001753930014
-100,2.7875, 0.001709868937
-100,2.7304, 0.001674437291
-100,2.6756, 0.001654974479
-100,2.6230, 0.001642445766
-100,2.5736, 0.001588169394
-100,2.5272, 0.001562454829
