# FORPRINT: Tue Nov 29 08:32:13 2016
# lambda[um]  F1       F2
   0.49900  2.08e-10  5.54e-12
   0.50000  2.05e-10  5.25e-12
   0.50100  2.03e-10  4.96e-12
   0.50200  2.08e-10  5.19e-12
   0.50300  2.13e-10  5.42e-12
   0.50400  2.13e-10  5.24e-12
   0.50500  2.14e-10  5.06e-12
   0.50600  2.17e-10  5.04e-12
   0.50700  2.21e-10  5.01e-12
   0.50800  2.18e-10  4.90e-12
   0.50900  2.16e-10  4.79e-12
   0.51000  2.18e-10  4.83e-12
   0.51100  2.19e-10  4.88e-12
   0.51200  2.18e-10  4.77e-12
   0.51300  2.16e-10  4.66e-12
   0.51400  2.14e-10  4.50e-12
   0.51500  2.11e-10  4.35e-12
   0.51600  2.06e-10  4.17e-12
   0.51700  2.01e-10  4.00e-12
   0.51800  2.01e-10  4.23e-12
   0.51900  2.02e-10  4.46e-12
   0.52000  2.07e-10  4.90e-12
   0.52100  2.13e-10  5.34e-12
   0.52200  2.14e-10  6.24e-12
   0.52300  2.16e-10  7.13e-12
   0.52400  2.19e-10  7.54e-12
   0.52500  2.22e-10  7.95e-12
   0.52600  2.13e-10  7.11e-12
   0.52700  2.04e-10  6.26e-12
   0.52800  2.13e-10  7.17e-12
   0.52900  2.21e-10  8.08e-12
   0.53000  2.24e-10  8.50e-12
   0.53100  2.26e-10  8.91e-12
   0.53200  2.19e-10  8.14e-12
   0.53300  2.12e-10  7.36e-12
   0.53400  2.18e-10  7.88e-12
   0.53500  2.23e-10  8.41e-12
   0.53600  2.23e-10  8.29e-12
   0.53700  2.23e-10  8.18e-12
   0.53800  2.22e-10  8.13e-12
   0.53900  2.22e-10  8.08e-12
   0.54000  2.20e-10  8.00e-12
   0.54100  2.17e-10  7.92e-12
   0.54200  2.20e-10  7.94e-12
   0.54300  2.23e-10  7.95e-12
   0.54400  2.25e-10  8.08e-12
   0.54500  2.26e-10  8.20e-12
   0.54600  2.25e-10  8.43e-12
   0.54700  2.24e-10  8.65e-12
   0.54800  2.24e-10  8.73e-12
   0.54900  2.25e-10  8.81e-12
   0.55000  2.25e-10  8.69e-12
   0.55100  2.26e-10  8.57e-12
   0.55200  2.26e-10  8.91e-12
   0.55300  2.27e-10  9.26e-12
   0.55400  2.28e-10  9.36e-12
   0.55500  2.29e-10  9.46e-12
   0.55600  2.27e-10  9.28e-12
   0.55700  2.24e-10  9.11e-12
   0.55800  2.24e-10  8.86e-12
   0.55900  2.23e-10  8.61e-12
   0.56000  2.25e-10  8.98e-12
   0.56100  2.27e-10  9.36e-12
   0.56200  2.28e-10  9.53e-12
   0.56300  2.29e-10  9.70e-12
   0.56400  2.29e-10  9.86e-12
   0.56500  2.29e-10  1.00e-11
   0.56600  2.28e-10  9.88e-12
   0.56700  2.26e-10  9.74e-12
   0.56800  2.27e-10  9.86e-12
   0.56900  2.29e-10  9.97e-12
   0.57000  2.27e-10  9.76e-12
   0.57100  2.26e-10  9.54e-12
   0.57200  2.31e-10  1.00e-11
   0.57300  2.35e-10  1.05e-11
   0.57400  2.33e-10  1.04e-11
   0.57500  2.31e-10  1.04e-11
   0.57600  2.32e-10  1.04e-11
   0.57700  2.32e-10  1.05e-11
   0.57800  2.31e-10  1.03e-11
   0.57900  2.30e-10  1.00e-11
   0.58000  2.31e-10  1.03e-11
   0.58100  2.33e-10  1.06e-11
   0.58200  2.34e-10  1.07e-11
   0.58300  2.35e-10  1.09e-11
   0.58400  2.33e-10  1.07e-11
   0.58500  2.32e-10  1.05e-11
   0.58600  2.32e-10  1.05e-11
   0.58700  2.32e-10  1.05e-11
   0.58800  2.28e-10  8.62e-12
   0.58900  2.23e-10  6.72e-12
   0.59000  2.27e-10  8.45e-12
   0.59100  2.32e-10  1.02e-11
   0.59200  2.32e-10  1.05e-11
   0.59300  2.32e-10  1.07e-11
   0.59400  2.32e-10  1.08e-11
   0.59500  2.32e-10  1.08e-11
   0.59600  2.32e-10  1.10e-11
   0.59700  2.33e-10  1.11e-11
   0.59800  2.32e-10  1.10e-11
   0.59900  2.32e-10  1.10e-11
   0.60000  2.31e-10  1.09e-11
   0.60100  2.29e-10  1.09e-11
   0.60200  2.30e-10  1.10e-11
   0.60300  2.30e-10  1.12e-11
   0.60400  2.32e-10  1.13e-11
   0.60500  2.33e-10  1.14e-11
   0.60600  2.33e-10  1.13e-11
   0.60700  2.33e-10  1.13e-11
   0.60800  2.31e-10  1.12e-11
   0.60900  2.30e-10  1.10e-11
   0.61000  2.30e-10  1.10e-11
   0.61100  2.29e-10  1.11e-11
   0.61200  2.26e-10  1.07e-11
   0.61300  2.23e-10  1.03e-11
   0.61400  2.24e-10  1.06e-11
   0.61500  2.25e-10  1.10e-11
   0.61600  2.24e-10  1.04e-11
   0.61700  2.22e-10  9.86e-12
   0.61800  2.26e-10  1.06e-11
   0.61900  2.30e-10  1.13e-11
   0.62000  2.30e-10  1.13e-11
   0.62100  2.30e-10  1.12e-11
   0.62200  2.28e-10  1.11e-11
   0.62300  2.27e-10  1.10e-11
   0.62400  2.24e-10  1.08e-11
   0.62500  2.21e-10  1.07e-11
   0.62600  2.25e-10  1.09e-11
   0.62700  2.29e-10  1.12e-11
   0.62800  2.30e-10  1.13e-11
   0.62900  2.30e-10  1.14e-11
   0.63000  2.27e-10  1.13e-11
   0.63100  2.25e-10  1.12e-11
   0.63200  2.26e-10  1.13e-11
   0.63300  2.27e-10  1.14e-11
   0.63400  2.27e-10  1.15e-11
   0.63500  2.27e-10  1.15e-11
   0.63600  2.27e-10  1.16e-11
   0.63700  2.27e-10  1.16e-11
   0.63800  2.28e-10  1.17e-11
   0.63900  2.28e-10  1.18e-11
   0.64000  2.26e-10  1.16e-11
   0.64100  2.24e-10  1.15e-11
   0.64200  2.25e-10  1.15e-11
   0.64300  2.26e-10  1.16e-11
   0.64400  2.25e-10  1.15e-11
   0.64500  2.25e-10  1.13e-11
   0.64600  2.24e-10  1.13e-11
   0.64700  2.24e-10  1.13e-11
   0.64800  2.23e-10  1.13e-11
   0.64900  2.22e-10  1.13e-11
   0.65000  2.24e-10  1.15e-11
   0.65100  2.25e-10  1.18e-11
   0.65200  2.25e-10  1.20e-11
   0.65300  2.24e-10  1.21e-11
   0.65400  2.17e-10  1.20e-11
   0.65500  2.11e-10  1.19e-11
   0.65600  1.83e-10  1.17e-11
   0.65700  1.91e-10  1.18e-11
   0.65800  2.05e-10  1.19e-11
   0.65900  2.19e-10  1.20e-11
   0.66000  2.22e-10  1.21e-11
   0.66100  2.25e-10  1.22e-11
   0.66200  2.25e-10  1.22e-11
   0.66300  2.25e-10  1.22e-11
   0.66400  2.25e-10  1.23e-11
   0.66500  2.25e-10  1.23e-11
   0.66600  2.24e-10  1.22e-11
   0.66700  2.24e-10  1.21e-11
   0.66800  2.25e-10  1.22e-11
   0.66900  2.26e-10  1.23e-11
   0.67000  2.25e-10  1.21e-11
   0.67100  2.24e-10  1.20e-11
   0.67200  2.24e-10  1.22e-11
   0.67300  2.25e-10  1.24e-11
   0.67400  2.25e-10  1.23e-11
   0.67500  2.24e-10  1.22e-11
   0.67600  2.24e-10  1.23e-11
   0.67700  2.24e-10  1.24e-11
   0.67800  2.24e-10  1.23e-11
   0.67900  2.24e-10  1.23e-11
   0.68000  2.23e-10  1.23e-11
   0.68100  2.23e-10  1.24e-11
   0.68200  2.23e-10  1.25e-11
   0.68300  2.24e-10  1.26e-11
   0.68400  2.22e-10  1.24e-11
   0.68500  2.21e-10  1.23e-11
   0.68600  2.22e-10  1.24e-11
   0.68700  2.23e-10  1.25e-11
   0.68800  2.23e-10  1.25e-11
   0.68900  2.23e-10  1.26e-11
   0.69000  2.22e-10  1.26e-11
   0.69100  2.22e-10  1.26e-11
   0.69200  2.22e-10  1.26e-11
   0.69300  2.22e-10  1.26e-11
   0.69400  2.22e-10  1.26e-11
   0.69500  2.22e-10  1.26e-11
   0.69600  2.21e-10  1.27e-11
   0.69700  2.21e-10  1.28e-11
   0.69800  2.21e-10  1.27e-11
   0.69900  2.21e-10  1.26e-11
   0.70000  2.19e-10  1.26e-11
   0.70100  2.17e-10  1.26e-11
   0.70200  2.18e-10  1.27e-11
