      lambda       flux         err
      10372.1      151214.      1413.45
      10374.8      147032.      2297.52
      10377.6      147604.      2230.31
      10380.4      147433.      1829.00
      10383.1      148132.      366.368
      10385.9      146849.      1846.97
      10388.6      144211.      1694.11
      10391.4      143916.      1437.51
      10394.2      145281.      2525.56
      10396.9      145225.      1499.74
      10399.7      147437.      2227.53
      10402.5      149297.      2494.03
      10405.2      150373.      1418.82
      10408.0      149836.      1370.19
      10410.8      149777.      1773.03
      10413.5      150223.      375.469
      10416.3      149347.      1945.46
      10419.0      150342.      2088.24
      10421.8      150984.      2299.59
      10424.6      149335.      2345.56
      10427.3      147488.      2089.02
      10430.1      150174.      2535.99
      10432.9      151464.      2262.37
      10435.6      153089.      1474.18
      10438.4      156288.      1140.51
      10441.1      154457.      3138.60
      10443.9      155753.      1548.21
      10446.7      156440.      2368.35
      10449.4      157428.      1687.19
      10452.2      156056.      900.428
      10455.0      155159.      2718.84
      10457.7      157922.      3970.04
      10460.5      151998.      3951.35
      10463.3      146879.      3978.44
      10466.0      142785.      940.810
      10468.8      142183.      1571.88
      10471.5      140528.      1423.93
      10474.3      141993.      1741.68
      10477.1      144923.      1111.84
      10479.8      141693.      3030.51
      10482.6      139272.      1664.63
      10485.4      139073.      2340.27
      10488.1      139289.      2521.60
      10490.9      141255.      2458.26
      10493.6      139085.      1394.34
      10496.4      138524.      2371.46
      10499.2      139107.      1184.41
      10501.9      142804.      1584.31
      10504.7      141687.      2083.38
      10507.5      136442.      1699.21
      10510.2      136379.      1994.98
      10513.0      137203.      1629.59
      10515.8      136411.      1692.23
      10518.5      135201.      2080.09
      10521.3      135367.      1732.06
      10524.0      136118.      1654.06
      10526.8      136188.      1829.71
      10529.6      135300.      1900.57
      10532.3      136123.      1652.84
      10535.1      135419.      2048.30
      10537.9      137613.      2029.14
      10540.6      138247.      2267.78
      10543.4      136869.      2227.98
      10546.2      134629.      2207.13
      10548.9      132438.      1501.52
      10551.7      131412.      1728.86
      10554.4      132710.      2778.40
      10557.2      132273.      2141.55
      10560.0      132145.      1432.84
      10562.7      131250.      1594.85
      10565.5      132373.      2163.27
      10568.3      130794.      1372.86
      10571.0      132706.      3538.73
      10573.8      131299.      3260.59
      10576.5      130030.      7044.50
      10579.3      132494.      9867.95
      10582.1      135453.      2642.75
      10584.8      131729.      2647.01
      10587.6      132097.      1824.83
      10590.4      130432.      1119.39
      10593.1      129160.      1550.39
      10595.9      127124.      918.911
      10598.7      127447.      1964.99
      10601.4      128556.      2308.80
      10604.2      131212.      1776.85
      10606.9      130736.      1376.86
      10609.7      131270.      1487.93
      10612.5      132684.      1676.19
      10615.2      131762.      2006.21
      10618.0      135623.      1440.91
      10620.8      136124.      1089.87
      10623.5      135766.      1657.79
