      lambda       flux         err
      9923.40      34037.6      1946.88
      9926.16      34477.4      3207.77
      9928.93      31454.9      1530.55
      9931.69      34167.6      2570.82
      9934.46      35578.6      849.343
      9937.22      35415.9      1803.41
      9939.99      37429.7      2684.02
      9942.75      37870.6      2078.42
      9945.52      36916.6      1916.49
      9948.28      36759.0      2337.73
      9951.04      36054.9      1936.91
      9953.81      40423.9      2447.46
      9956.57      38679.7      3857.38
      9959.34      41227.0      2349.11
      9962.10      41636.0      1825.70
      9964.87      41557.7      2723.78
      9967.63      39169.1      1177.61
      9970.40      38209.8      1606.44
      9973.16      39733.4      1551.30
      9975.92      40063.1      2492.74
      9978.69      37738.3      1304.21
      9981.45      36945.4      2199.76
      9984.22      40426.8      2009.09
      9986.98      38940.4      1061.48
      9989.75      41145.3      18051.3
      9992.51      38510.2      15109.8
      9995.28      39852.2      2189.51
      9998.04      40494.2      338.292
      10000.8      38797.7      2861.46
      10003.6      40909.3      2395.81
      10006.3      40243.6      2471.56
      10009.1      43086.0      1467.72
      10011.9      41911.6      1441.31
      10014.6      39180.1      745.920
      10017.4      39845.7      1935.54
      10020.2      41290.1      1875.68
      10022.9      42689.6      1724.14
      10025.7      39820.4      2898.83
      10028.5      40304.7      861.625
      10031.2      39441.6      3083.98
      10034.0      40055.0      1088.88
      10036.7      37909.1      2232.85
      10039.5      40101.3      1136.96
      10042.3      39427.1      1232.07
      10045.0      39673.8      1923.78
      10047.8      40374.8      1962.20
      10050.6      38726.0      2914.65
      10053.3      37277.6      1489.97
      10056.1      39380.3      1128.63
      10058.9      36750.3      2600.01
      10061.6      37944.6      1291.30
      10064.4      38588.5      1731.97
      10067.2      40468.3      2066.15
      10069.9      40543.7      1399.52
      10072.7      43299.6      2342.37
      10075.4      42301.0      5230.09
      10078.2      40802.3      2924.77
      10081.0      40671.4      3517.54
      10083.7      44179.0      3324.89
      10086.5      39664.1      2596.98
      10089.3      42196.8      1219.59
      10092.0      42769.9      2198.92
      10094.8      42682.4      2004.91
      10097.6      42477.6      2477.36
      10100.3      44498.9      1676.98
      10103.1      43491.3      2317.44
      10105.9      43152.9      2317.39
      10108.6      43395.3      2016.21
      10111.4      40339.3      2058.02
      10114.1      41193.1      2833.44
      10116.9      41180.7      2477.76
      10119.7      44259.8      1932.97
      10122.4      45518.7      2420.18
      10125.2      42225.0      1213.18
      10128.0      45547.0      1367.70
      10130.7      43710.1      2185.74
      10133.5      43297.7      653.240
      10136.3      40605.1      1862.92
      10139.0      41901.5      2785.41
      10141.8      40794.5      1038.39
      10144.6      41395.7      2737.81
      10147.3      41160.1      1454.78
      10150.1      39603.1      3214.51
      10152.9      40892.3      2275.99
      10155.6      42823.6      827.755
      10158.4      39308.8      1980.15
      10161.1      40740.1      2393.52
      10163.9      42184.5      2952.41
      10166.7      39334.4      2602.97
      10169.4      40872.4      2470.56
      10172.2      43266.3      2907.00
      10175.0      41587.9      1307.21
      10177.7      40702.0      2359.10
      10180.5      42322.1      1687.60
      10183.3      41110.3      1574.90
      10186.0      43135.3      1707.86
      10188.8      42317.4      1365.71
      10191.6      38968.6      2678.37
      10194.3      40076.4      962.088
      10197.1      43548.7      961.239
      10199.8      43882.6      1087.27
      10202.6      43607.0      1960.09
      10205.4      43855.7      3411.29
      10208.1      44295.4      2745.37
      10210.9      41481.0      2884.46
      10213.7      41401.7      848.372
      10216.4      42072.7      1553.81
      10219.2      40008.8      1814.32
      10222.0      39989.2      2685.30
      10224.7      39435.3      2306.43
      10227.5      40722.5      911.675
      10230.3      39387.3      2284.77
      10233.0      41446.8      3038.99
      10235.8      45120.9      1837.37
      10238.5      43482.8      905.848
      10241.3      43228.3      1849.19
      10244.1      43660.2      791.092
      10246.8      45003.4      1486.18
      10249.6      44214.6      1172.44
      10252.4      41098.3      3062.90
      10255.1      40261.1      1349.91
      10257.9      40496.3      2483.06
      10260.7      38197.0      2115.24
      10263.4      40753.5      3098.97
      10266.2      41350.6      1236.58
      10269.0      40732.4      2997.26
      10271.7      41030.4      1358.29
      10274.5      39988.4      2182.39
      10277.3      40148.1      2597.63
      10280.0      40268.2      1489.22
      10282.8      40131.3      2733.34
      10285.5      39855.9      1118.07
      10288.3      39577.5      2756.52
      10291.1      39592.3      1770.43
      10293.8      38151.6      2407.81
      10296.6      42907.6      2244.72
      10299.4      44659.4      1981.09
      10302.1      41259.8      1367.93
      10304.9      41258.9      1646.20
      10307.7      43366.5      1724.03
      10310.4      42667.7      1887.39
      10313.2      41992.4      1776.85
      10316.0      44072.3      672.195
      10318.7      42305.2      2702.02
      10321.5      40985.5      2064.28
      10324.2      41313.5      1004.70
      10327.0      42214.7      2290.36
      10329.8      41974.6      1144.18
      10332.5      43725.9      1437.28
      10335.3      43167.3      1642.10
      10338.1      40129.9      2794.18
      10340.8      37925.0      3144.02
      10343.6      40800.2      2398.75
      10346.4      42930.8      1794.03
      10349.1      41886.5      2330.04
      10351.9      41151.6      2476.53
      10354.7      42534.1      2647.50
      10357.4      43964.8      3009.53
      10360.2      44580.3      4265.44
      10363.0      41797.0      2989.27
      10365.7      44577.5      2143.59
      10368.5      45904.2      1764.17
      10371.2      44913.9      1464.59
      10374.0      45555.0      2791.08
      10376.8      44910.8      2103.91
      10379.5      42935.6      1519.35
      10382.3      40671.6      2643.65
      10385.1      42398.7      3730.46
      10387.8      42815.5      4346.06
      10390.6      42884.2      2153.56
      10393.4      44274.3      2985.40
      10396.1      42194.9      1945.14
      10398.9      45248.9      1874.83
      10401.7      44525.7      853.369
      10404.4      44152.0      2060.34
      10407.2      43332.0      1609.25
      10409.9      42944.8      1429.21
      10412.7      43735.4      2286.27
      10415.5      43740.1      2140.66
      10418.2      45951.9      1898.84
      10421.0      43692.8      1046.05
      10423.8      43098.2      3075.35
      10426.5      44597.3      1243.43
      10429.3      41892.4      3174.82
      10432.1      46409.9      2977.83
      10434.8      45420.1      1907.41
      10437.6      46689.8      2033.72
      10440.4      49288.1      3415.45
      10443.1      46946.1      1741.28
      10445.9      46296.0      2052.64
      10448.6      45763.6      2446.61
      10451.4      46648.8      1952.25
      10454.2      49263.9      1722.45
      10456.9      48615.0      2209.22
      10459.7      45290.8      1646.06
      10462.5      44893.2      992.023
      10465.2      45450.2      978.696
      10468.0      42619.5      1435.67
      10470.8      42166.9      3169.02
      10473.5      42933.0      2240.73
      10476.3      40578.1      1433.14
      10479.1      43625.1      1614.39
      10481.8      45593.4      2188.03
      10484.6      41846.9      2538.06
      10487.4      42522.2      1713.79
      10490.1      42954.6      2834.54
      10492.9      41335.9      24964.3
      10495.6      43861.1      18480.6
      10498.4      43346.7      1210.80
      10501.2      42594.9      2311.70
      10503.9      41541.9      2268.36
      10506.7      41865.7      2436.97
      10509.5      42990.2      1164.10
      10512.2      39727.2      3788.94
      10515.0      41733.3      985.603
      10517.8      45171.4      1941.71
      10520.5      41094.0      1973.66
      10523.3      43247.6      2576.77
      10526.1      46514.3      1265.00
      10528.8      43288.9      2399.28
      10531.6      41328.9      1242.96
      10534.3      42025.9      1784.49
      10537.1      42129.1      1526.06
      10539.9      43023.7      2420.11
      10542.6      40859.2      2253.57
      10545.4      40828.3      1468.89
      10548.2      39427.6      598.486
