#Spectrum of PZTelB from Maire et al. 2016
#Distance assumed: 51.49 +/-2.47 pc (Hipparcos).
#Flux-calibrared using the H-band mag reported in Bejar et al. 2008
#Resolving power: 50
#Wavelength [microns] Flux at 10 pc [W.m-2.microns-1]	Flux error [W.m-2.microns-1]
     0.933900  5.58362e-13  9.10072e-12
     0.934000  5.63034e-13  8.96890e-12
     0.934100  5.67709e-13  8.83700e-12
     0.934200  5.72383e-13  8.70509e-12
     0.934300  5.77055e-13  8.57327e-12
     0.934400  5.81730e-13  8.44137e-12
     0.934500  5.86405e-13  8.30947e-12
     0.934600  5.91079e-13  8.17757e-12
     0.934700  5.95751e-13  8.04574e-12
     0.934800  6.00426e-13  7.91384e-12
     0.934900  6.05100e-13  7.78194e-12
     0.935000  6.09775e-13  7.65004e-12
     0.935100  6.14447e-13  7.51822e-12
     0.935200  6.19121e-13  7.38632e-12
     0.935300  6.23796e-13  7.25442e-12
     0.935400  6.28468e-13  7.12260e-12
     0.935500  6.33142e-13  6.99070e-12
     0.935600  6.37817e-13  6.85880e-12
     0.935700  6.42491e-13  6.72690e-12
     0.935800  6.47163e-13  6.59509e-12
     0.935900  6.51838e-13  6.46319e-12
     0.936000  6.56513e-13  6.33129e-12
     0.936100  6.61187e-13  6.19940e-12
     0.936200  6.65859e-13  6.06758e-12
     0.936300  6.70534e-13  5.93568e-12
     0.936400  6.75208e-13  5.80379e-12
     0.936500  6.79880e-13  5.67197e-12
     0.936600  6.84555e-13  5.54008e-12
     0.936700  6.89229e-13  5.40819e-12
     0.936800  6.93904e-13  5.27630e-12
     0.936900  6.98576e-13  5.14449e-12
     0.937000  7.03250e-13  5.01260e-12
     0.937100  7.07082e-13  4.90345e-12
     0.937200  7.08517e-13  4.85892e-12
     0.937300  7.09954e-13  4.81436e-12
     0.937400  7.11391e-13  4.76980e-12
     0.937500  7.12827e-13  4.72524e-12
     0.937600  7.14263e-13  4.68071e-12
     0.937700  7.15700e-13  4.63615e-12
     0.937800  7.17136e-13  4.59159e-12
     0.937900  7.18572e-13  4.54706e-12
     0.938000  7.20009e-13  4.50250e-12
     0.938100  7.21446e-13  4.45794e-12
     0.938200  7.22882e-13  4.41339e-12
     0.938300  7.24318e-13  4.36885e-12
     0.938400  7.25755e-13  4.32430e-12
     0.938500  7.27191e-13  4.27974e-12
     0.938600  7.28627e-13  4.23521e-12
     0.938700  7.30064e-13  4.19065e-12
     0.938800  7.31500e-13  4.14609e-12
     0.938900  7.32937e-13  4.10154e-12
     0.939000  7.34373e-13  4.05701e-12
     0.939100  7.35809e-13  4.01245e-12
     0.939200  7.37246e-13  3.96790e-12
     0.939300  7.38683e-13  3.92334e-12
     0.939400  7.40118e-13  3.87881e-12
     0.939500  7.41555e-13  3.83426e-12
     0.939600  7.42992e-13  3.78970e-12
     0.939700  7.44428e-13  3.74517e-12
     0.939800  7.45864e-13  3.70062e-12
     0.939900  7.47301e-13  3.65607e-12
     0.940000  7.48737e-13  3.61151e-12
     0.940100  7.50173e-13  3.56698e-12
     0.940200  7.51610e-13  3.52243e-12
     0.940300  7.53047e-13  3.47788e-12
     0.940400  7.54483e-13  3.43333e-12
     0.940500  7.55919e-13  3.38880e-12
     0.940600  7.57356e-13  3.34425e-12
     0.940700  7.58792e-13  3.29970e-12
     0.940800  7.60228e-13  3.25517e-12
     0.940900  7.61665e-13  3.21062e-12
     0.941000  7.63101e-13  3.16607e-12
     0.941100  7.64538e-13  3.12152e-12
     0.941200  7.65974e-13  3.07700e-12
     0.941300  7.67410e-13  3.03245e-12
     0.941400  7.68847e-13  2.98790e-12
     0.941500  7.70283e-13  2.94338e-12
     0.941600  7.71720e-13  2.89883e-12
     0.941700  7.73156e-13  2.85429e-12
     0.941800  7.74593e-13  2.80974e-12
     0.941900  7.76029e-13  2.76522e-12
     0.942000  7.77465e-13  2.72068e-12
     0.942100  7.78902e-13  2.67613e-12
     0.942200  7.80338e-13  2.63162e-12
     0.942300  7.81774e-13  2.58708e-12
     0.942400  7.83211e-13  2.54253e-12
     0.942500  7.84648e-13  2.49799e-12
     0.942600  7.86083e-13  2.45348e-12
